Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,0.9739229024943311,0.9103448275862069,0.9295774647887324,0.9198606271777003,0.9865055196041113
Gradient Boosting,0.9591836734693877,1.0,0.7464788732394366,0.8548387096774194,0.9848115721355158
SVM (RBF),0.9036281179138322,0.6461538461538462,0.8873239436619719,0.7477744807121661,0.9426008755234108
Decision Tree,0.8650793650793651,0.5515695067264574,0.8661971830985915,0.673972602739726,0.9354729729729729
K-Nearest Neighbors,0.8367346938775511,0.48863636363636365,0.3028169014084507,0.3739130434782609,0.909759231062048
Logistic Regression,0.717687074829932,0.3222591362126246,0.6830985915492958,0.43792325056433407,0.7389417586600686
